cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
C,conservative,area,0.2053525026457146,0.23713737056616552,0.220673406908459,0.129764173803561,0.27980396059309387,602263,68,0.01
C,conservative,area,0.23713737056616552,0.27384196342643613,0.25482967479793467,0.1156766788080822,0.24942780376156792,602263,68,0.01
C,conservative,area,0.27384196342643613,0.31622776601683794,0.2942727176209282,0.07629861130638815,0.16451885759777066,602263,68,0.01
C,conservative,area,0.31622776601683794,0.3651741272548377,0.33982083289425596,0.05016578889462819,0.10816996716091153,602263,68,0.01
C,conservative,area,0.3651741272548377,0.4216965034285822,0.3924189758484536,0.024552161630121593,0.052940591103592345,602263,68,0.01
C,conservative,area,0.4216965034285822,0.4869675251658631,0.4531583637600818,0.007834077888558529,0.01689222808239623,602263,68,0.01
C,conservative,area,0.4869675251658631,0.5623413251903491,0.5232991146814947,0.0,0.0,602263,68,0.01
C,conservative,area,0.5623413251903491,0.6493816315762113,0.6042963902381329,0.0,0.0,602263,68,0.01
C,conservative,area,0.6493816315762113,0.7498942093324559,0.6978305848598664,0.0,0.0,602263,68,0.01
C,conservative,area,0.7498942093324559,0.8659643233600653,0.8058421877614819,0.0,0.0,602263,68,0.01
C,conservative,area,0.8659643233600653,1.0,0.930572040929699,0.0,0.0,602263,68,0.01
C,moderate,area,0.01,0.011547819846894581,0.010746078283213174,0.0062764924467980255,0.012095877618179427,602263,243,0.01
C,moderate,area,0.011547819846894581,0.01333521432163324,0.012409377607517195,0.035709088461102524,0.06881753902254616,602263,243,0.01
C,moderate,area,0.01333521432163324,0.01539926526059492,0.014330125702369627,0.11018474791713447,0.21234491039267195,602263,243,0.01
C,moderate,area,0.01539926526059492,0.01778279410038923,0.016548170999431816,0.15188188707656014,0.29270245030461955,602263,243,0.01
C,moderate,area,0.01778279410038923,0.02053525026457146,0.019109529749704406,0.18526036620999134,0.35702850535865055,602263,243,0.01
C,moderate,area,0.02053525026457146,0.023713737056616554,0.0220673406908459,0.23242636092048868,0.4479254680482056,602263,243,0.01
C,moderate,area,0.023713737056616554,0.027384196342643614,0.025482967479793464,0.2757849245511256,0.5314848579179066,602263,243,0.01
C,moderate,area,0.027384196342643614,0.03162277660168379,0.029427271762092817,0.32191252896711614,0.6203806643838662,602263,243,0.01
C,moderate,area,0.03162277660168379,0.03651741272548377,0.03398208328942559,0.3844351623663779,0.7408725041134878,602263,243,0.01
C,moderate,area,0.03651741272548377,0.042169650342858224,0.03924189758484536,0.4155522581917717,0.8008404856139102,602263,243,0.01
C,moderate,area,0.042169650342858224,0.04869675251658631,0.04531583637600818,0.45648791113522497,0.8797305109618864,602263,243,0.01
C,moderate,area,0.04869675251658631,0.05623413251903491,0.05232991146814947,0.4774518574143293,0.9201316316093743,602263,243,0.01
C,moderate,area,0.05623413251903491,0.06493816315762113,0.060429639023813285,0.4919547085276107,0.9480811135322631,602263,243,0.01
C,moderate,area,0.06493816315762113,0.07498942093324558,0.06978305848598663,0.5083151245010642,0.9796104415884702,602263,243,0.01
